instname,total_enr,murder,manslaughter,forcible,nonforce,robbery,agg_aslt,burglary,vehicle,arson
Cuyahoga Community College District,215971,0,0,3,0,3,0,2,7,0
De Anza College,24187,0,0,0,0,0,0,9,2,0
Delgado Community College,163488,0,0,0,0,0,4,12,3,0
DePaul University,152388,0,0,1,0,0,0,15,0,0
Des Moines Area Community College,279675,0,0,0,0,0,1,1,0,0
DeVry University-Illinois,279210,0,0,0,0,0,0,0,0,0
Diablo Valley College,20310,0,0,0,0,1,1,1,4,0
Drexel University,149160,0,0,5,0,0,0,50,0,0
East Carolina University,54772,0,0,9,0,4,2,17,2,0
East Los Angeles College,37057,0,0,0,0,1,1,7,12,0
Eastern Michigan University,210771,0,0,4,0,2,1,13,2,7
El Camino Community College District,24463,0,0,0,0,1,2,2,13,2
El Paso Community College,215061,0,0,0,0,0,0,3,19,0
Everest University-South Orlando,25537,0,0,0,0,0,0,0,2,0
Excelsior College,35608,0,0,0,0,0,0,0,0,0
Florida Atlantic University,233968,0,0,1,0,1,0,22,13,3
Florida International University,44616,0,0,3,0,3,4,42,17,0
Florida State College at Jacksonville,246904,0,0,0,0,1,2,1,1,0
Florida State University,41087,0,1,2,0,8,8,67,10,1
Fresno City College,40270,0,0,0,0,1,2,33,10,7
Front Range Community College,82272,0,0,0,0,0,0,0,3,0
Full Sail University,20160,0,0,0,0,2,2,0,3,0
George Mason University,33320,0,0,8,0,0,0,31,0,0
George Washington University,202080,0,0,16,0,1,4,45,2,1
Georgia Institute of Technology-Main Campus,41882,0,0,5,0,5,3,18,15,0
Georgia Perimeter College,134980,0,0,0,0,2,0,0,4,0
Georgia Southern University,20212,0,0,3,0,2,0,10,0,0
Georgia State University,64044,0,0,4,0,4,2,8,2,0
Glendale Community College,42752,0,0,0,0,0,1,2,10,0
Grand Canyon University,40487,0,0,1,0,0,0,10,0,0
Grand Valley State University,123310,0,0,2,0,0,0,6,0,1
Harrisburg Area Community College-Harrisburg,112975,0,0,1,0,1,2,2,1,0
Harvard University,54784,0,0,21,0,1,7,28,3,0
Hillsborough Community College,141645,0,0,0,0,0,0,4,1,0
Houston Community College,1323315,0,0,0,0,1,6,36,14,0
Illinois State University,21310,0,0,2,0,1,21,26,2,1
Indiana University-Bloomington,42731,0,0,11,0,3,12,89,18,3
Indiana University-Purdue University-Indianapolis,61060,0,0,2,0,3,7,51,10,1
Instituto de Banca y Comercio Inc,20876,0,0,0,0,19,1,4,0,0
Iowa State University,29611,0,0,6,0,1,8,47,2,3
Ivy Tech Community College-Central Indiana,42092,0,0,0,0,0,0,1,0,0
Johns Hopkins University,209960,0,0,0,0,0,0,1,2,0
Johnson County Community College,21020,0,0,1,0,0,1,14,3,0
Kansas State University,47726,0,0,7,0,0,2,22,2,0
Kaplan University-Davenport Campus,56606,0,0,0,0,0,0,0,0,0
Kennesaw State University,24175,0,0,2,0,0,0,34,3,0
Kent State University at Kent,27855,0,0,3,0,1,1,17,1,1
Lansing Community College,41280,0,0,0,0,0,1,60,0,0
Liberty University,64096,0,0,4,0,2,1,5,1,2
Lone Star College System,378174,0,0,0,1,1,1,1,1,0
Long Beach City College,51564,0,0,0,0,1,1,13,19,0
Los Angeles City College,21028,0,0,0,0,1,0,3,0,0
Los Angeles Pierce College,20506,0,0,4,0,4,0,1,1,0
Louisiana State University and Agricultural & Mechanical College,29718,0,0,2,0,9,9,47,10,3
Macomb Community College,47938,0,0,0,0,0,0,0,3,0
Mesa Community College,77085,0,0,0,0,0,4,1,0,0
Metropolitan State College of Denver,23789,0,0,1,0,0,2,66,7,0
Miami Dade College,509888,0,0,0,0,5,2,0,36,0
Michigan State University,191300,0,0,15,0,1,10,77,9,0
Middle Tennessee State University,26442,0,0,4,0,2,5,30,5,0
Mississippi State University,40848,0,0,1,0,0,1,56,2,1
Missouri State University-Springfield,20276,0,0,0,0,0,0,3,6,0
Montgomery College,80988,0,0,4,0,1,2,3,5,0
Mt. San Antonio College,28388,0,0,1,0,0,3,6,5,0
Nassau Community College,23550,0,0,1,0,0,0,5,13,0
New York University,658665,0,0,1,0,0,0,35,0,0
North Carolina State University at Raleigh,34767,0,0,7,0,6,9,41,12,0
Northeastern University,26959,0,0,6,0,3,5,17,0,0
Northern Arizona University,25359,0,0,13,0,3,5,35,2,1
Northern Illinois University,114950,0,0,4,0,0,1,22,0,2
Northern Virginia Community College,300264,0,0,2,0,3,2,1,0,0
Northwestern University,104795,0,0,3,0,3,0,57,5,0
Nova Southeastern University,85371,0,0,2,1,0,0,5,1,0
Oakland Community College,145790,0,0,2,0,0,0,3,5,0
Ohio State University-Main Campus,56867,0,0,28,0,7,0,22,8,6
Ohio University-Main Campus,26201,0,0,8,0,1,1,21,2,6
Oklahoma State University-Main Campus,48780,0,0,11,0,0,1,45,1,0
Old Dominion University,24753,0,0,7,0,6,2,34,6,0
Orange Coast College,22654,0,0,1,0,0,0,7,1,0
Oregon State University,24962,0,0,3,0,1,3,36,28,1
Palm Beach State College,117416,0,0,0,0,0,0,0,3,0
Palomar College,50854,0,0,1,0,0,2,0,0,0
Pasadena City College,52114,0,0,2,0,2,0,2,8,1
Pennsylvania State University-Main Campus,45628,0,0,24,0,2,6,112,1,11
Pima Community College,443628,0,0,0,0,3,2,4,16,0
Portland Community College,277056,0,0,5,0,2,6,5,3,0
Portland State University,28584,0,0,8,0,1,0,41,3,1
Purdue University-Main Campus,449339,0,0,7,0,1,2,49,4,2
Richland College,40000,0,0,0,0,0,1,0,2,1
Rio Salado College,251090,0,0,0,0,0,0,0,0,0
Rutgers University-New Brunswick,39950,0,0,12,0,0,5,65,7,3
Sacramento City College,72318,0,0,1,0,1,0,1,12,0
Saddleback College,22578,0,0,1,0,0,6,3,0,1
Saint Louis Community College,175200,0,0,0,0,0,0,2,5,1
Salt Lake Community College,200520,0,0,1,0,1,0,9,2,0
San Antonio College,25567,0,0,1,0,1,2,0,11,0
San Diego Mesa College,25504,0,0,0,0,0,0,1,8,0
San Diego State University,30541,0,0,6,0,2,4,42,39,0
San Francisco State University,29541,0,0,4,0,2,0,41,8,1
San Jacinto Community College,88176,0,0,0,0,0,0,6,4,0
San Jose State University,60472,2,0,3,0,2,13,24,13,4
Santa Ana College,30289,0,0,0,0,2,1,3,3,0
Santa Monica College,29971,0,0,0,0,2,0,8,1,0
Santa Rosa Junior College,72597,0,0,0,0,1,1,1,0,2
Sinclair Community College,105530,0,0,0,0,0,0,2,0,0
South Texas College,29604,0,0,0,0,0,2,0,0,0
Southwestern College,81636,0,0,0,0,0,0,0,6,0
"St John's University-New York",147469,0,0,5,0,1,0,15,1,7
St Petersburg College,265024,0,0,0,1,0,0,0,1,0
Stony Brook University,23920,0,0,13,0,2,2,96,7,2
Suffolk County Community College,107148,0,0,0,0,0,0,0,0,0
Syracuse University,145803,0,0,12,0,0,4,36,0,1
Tarrant County College District,300372,0,0,0,0,0,1,1,8,0
Temple University,294840,0,0,4,0,4,4,5,0,0
Texas A & M University-College Station,100460,0,0,3,0,1,0,29,3,1
Texas State University-San Marcos,68174,0,0,3,0,1,5,44,3,1
Texas Tech University,226289,0,0,3,0,1,3,21,6,1
The Community College of Baltimore County,157626,0,0,1,0,7,0,0,1,1
The University of Alabama,63294,0,0,3,0,5,3,68,2,1
The University of Tennessee,90582,0,0,4,0,1,0,30,10,0
The University of Texas at Arlington,100317,0,0,2,0,2,2,36,7,0
The University of Texas at Austin,51112,0,0,2,0,0,6,51,2,3
The University of Texas at El Paso,22640,0,0,5,0,1,3,28,21,0
The University of Texas at San Antonio,61936,0,0,2,0,3,6,13,5,0
Thomas Edison State College,20251,0,0,0,0,0,0,0,0,0
Tidewater Community College,224707,0,0,0,0,0,0,7,3,0
Towson University,21464,0,0,7,0,2,3,11,0,0
Troy University,209376,0,0,0,0,0,0,8,2,0
Tulsa Community College,80616,0,0,0,0,0,0,29,4,0
University at Buffalo,28849,0,0,3,0,3,4,73,6,1
University of Akron Main Campus,54940,0,0,5,0,4,1,5,13,0
University of Arizona,39236,1,0,3,0,0,0,43,6,2
University of Arkansas,23199,0,0,5,0,1,2,46,16,0
University of California-Berkeley,72274,0,0,30,1,9,7,40,14,6
University of California-Davis,63464,0,0,24,0,5,4,86,13,1
University of California-Irvine,54378,0,0,6,1,2,1,52,5,1
University of California-Los Angeles,39271,0,0,8,0,2,4,118,7,0
University of California-Riverside,20900,0,0,5,0,4,1,32,23,1
University of California-San Diego,28593,0,0,6,0,0,6,29,18,4
University of California-Santa Barbara,21685,0,0,7,1,1,3,40,4,3
University of Central Florida,935440,0,0,6,0,10,12,32,35,0
University of Cincinnati-Main Campus,66658,0,0,9,0,5,4,15,7,1
University of Colorado Boulder,32558,0,0,6,0,5,8,42,10,1
University of Colorado Denver,44990,0,0,1,0,0,2,75,11,0
University of Connecticut,51736,0,0,8,0,3,3,54,0,3
University of Delaware,64467,0,0,3,1,4,3,26,1,1
University of Florida,99178,0,0,10,0,1,6,27,14,0
University of Georgia,34816,0,0,5,0,1,2,53,5,3
University of Hawaii at Manoa,40858,0,0,12,0,2,16,64,16,0
University of Houston,119460,0,0,6,0,1,3,74,22,0
University of Illinois at Chicago,84273,1,0,9,0,6,8,14,0,0
University of Illinois at Urbana-Champaign,88814,0,0,5,0,4,4,30,5,4
University of Iowa,119240,0,0,10,0,0,6,20,2,0
University of Kansas,111756,0,0,4,0,1,9,39,7,1
University of Kentucky,163356,0,0,5,0,3,4,13,12,0
University of Louisville,63456,0,0,0,0,0,0,10,0,0
University of Maryland-College Park,75262,0,0,4,0,4,4,64,37,1
University of Maryland-University College,256278,0,0,0,0,1,0,0,0,0
University of Massachusetts Amherst,28084,0,0,13,0,1,5,32,1,0
University of Memphis,90900,0,0,2,0,1,5,39,5,0
University of Michigan-Ann Arbor,42716,0,0,14,0,4,8,37,12,4
University of Minnesota-Twin Cities,105114,0,0,12,0,5,2,45,6,0
University of Missouri-Columbia,33762,0,0,11,0,1,8,10,1,1
University of Nebraska-Lincoln,24593,0,0,3,0,0,1,7,3,1
University of Nevada-Las Vegas,54728,0,0,1,0,5,1,23,34,1
University of New Mexico-Main Campus,28977,0,0,2,0,4,10,19,57,0
University of North Carolina at Chapel Hill,29137,0,0,12,0,3,3,36,3,1
University of North Carolina at Charlotte,25277,0,0,2,0,6,1,65,9,0
University of North Texas,75636,0,0,2,0,0,1,24,3,0
University of Oklahoma Norman Campus,27138,0,0,13,0,0,1,29,10,2
University of Oregon,73188,0,0,8,0,0,3,35,3,0
University of Pennsylvania,148992,0,0,12,0,9,2,19,1,1
University of Pittsburgh-Pittsburgh Campus,28766,0,0,4,0,5,3,25,2,0
University of South Carolina-Columbia,30721,0,0,1,0,2,8,113,22,0
University of South Florida-Main Campus,39596,0,0,1,0,1,8,48,9,0
University of Southern California,342090,0,0,8,0,5,1,50,4,2
University of Toledo,67830,0,0,2,0,1,4,118,0,4
University of Utah,31660,0,0,5,0,0,3,90,0,0
University of Virginia-Main Campus,145782,0,0,13,0,1,0,54,16,0
University of Washington-Seattle Campus,42444,0,0,5,0,3,3,40,1,0
University of Wisconsin-Madison,41946,0,0,24,0,2,3,32,3,1
University of Wisconsin-Milwaukee,29350,0,0,3,0,0,0,39,0,1
Utah State University,26757,0,0,3,0,0,0,12,1,0
Utah Valley University,33395,0,0,3,0,0,0,7,5,0
Valencia College,341048,0,0,0,0,0,2,1,3,0
Virginia Commonwealth University,94881,0,0,6,0,3,5,15,4,0
Virginia Polytechnic Institute and State University,371232,1,0,14,0,0,3,30,3,0
Walden University,48982,0,0,0,0,0,0,0,0,0
Washington State University,109316,0,0,8,0,0,2,28,5,0
Wayne County Community College District,122640,0,0,1,0,0,0,0,5,0
Wayne State University,123060,0,0,2,0,3,2,18,8,2
Weber State University,25301,0,0,2,0,0,0,11,0,0
West Virginia University,29617,0,0,4,0,1,7,22,4,1
Western Kentucky University,126216,0,0,5,0,3,2,32,1,0
Western Michigan University,250860,0,0,3,1,0,2,13,1,2
